iter	Passed	Remaining
0	139	139685
1	142	71050
2	144	48166
3	147	36672
4	150	29882
5	153	25492
6	156	22213
7	159	19789
8	162	17930
9	167	16560
10	170	15285
11	172	14189
12	174	13249
13	176	12417
14	177	11676
15	179	11024
16	180	10455
17	182	9970
18	184	9513
19	185	9113
20	187	8758
21	189	8439
22	191	8129
23	193	7864
24	195	7619
25	197	7382
26	198	7159
27	200	6971
28	202	6784
29	204	6608
30	205	6435
31	207	6287
32	209	6134
33	211	5995
34	212	5862
35	214	5736
36	216	5623
37	217	5512
38	219	5403
39	220	5298
40	222	5198
41	223	5106
42	225	5016
43	226	4928
44	228	4844
45	229	4767
46	231	4696
47	232	4620
48	234	4547
49	235	4480
50	237	4412
51	238	4353
52	240	4290
53	241	4231
54	242	4172
55	244	4126
56	246	4079
57	247	4025
58	249	3974
59	250	3926
60	251	3878
61	253	3831
62	254	3787
63	255	3741
64	257	3697
65	258	3652
66	259	3610
67	259	3561
68	261	3521
69	262	3485
70	263	3448
71	264	3411
72	265	3376
73	267	3341
74	268	3307
75	269	3273
76	270	3240
77	271	3207
78	272	3177
79	273	3148
80	274	3119
81	276	3090
82	277	3063
83	278	3036
84	279	3005
85	280	2979
86	281	2952
87	282	2930
88	284	2907
89	285	2884
90	286	2864
91	288	2842
92	289	2821
93	290	2800
94	291	2780
95	293	2761
96	294	2739
97	295	2722
98	296	2702
99	298	2684
100	299	2665
101	300	2641
102	301	2624
103	302	2608
104	304	2592
105	305	2575
106	306	2562
107	308	2550
108	310	2538
109	311	2524
110	313	2507
111	314	2491
112	315	2476
113	317	2463
114	318	2449
115	319	2433
116	320	2420
117	321	2405
118	322	2390
119	324	2376
120	325	2363
121	326	2350
122	327	2333
123	328	2319
124	329	2305
125	330	2292
126	332	2282
127	332	2267
128	335	2263
129	336	2252
130	337	2241
131	339	2229
132	340	2218
133	341	2207
134	342	2196
135	344	2186
136	345	2176
137	346	2164
138	347	2154
139	349	2146
140	350	2137
141	352	2128
142	353	2117
143	354	2107
144	355	2097
145	356	2087
146	358	2078
147	359	2069
148	360	2060
149	361	2051
150	363	2041
151	364	2034
152	365	2025
153	367	2016
154	368	2007
155	369	1999
156	370	1991
157	372	1983
158	373	1974
159	374	1966
160	375	1958
161	377	1951
162	378	1944
163	380	1937
164	381	1928
165	382	1921
166	383	1913
167	385	1907
168	386	1900
169	387	1893
170	389	1887
171	390	1881
172	391	1873
173	393	1867
174	394	1860
175	396	1855
176	397	1848
177	398	1841
178	399	1833
179	401	1826
180	401	1817
181	402	1810
182	404	1804
183	405	1798
184	406	1792
185	408	1787
186	409	1781
187	411	1776
188	412	1770
189	413	1764
190	415	1758
191	416	1752
192	417	1746
193	419	1742
194	420	1737
195	421	1730
196	423	1725
197	424	1719
198	425	1713
199	426	1707
200	428	1702
201	429	1696
202	430	1691
203	432	1685
204	433	1681
205	435	1677
206	436	1673
207	438	1670
208	439	1664
209	441	1661
210	443	1656
211	444	1652
212	445	1646
213	447	1642
214	448	1637
215	449	1632
216	450	1627
217	452	1622
218	453	1617
219	454	1612
220	455	1606
221	456	1601
222	458	1596
223	459	1592
224	461	1588
225	462	1583
226	463	1579
227	465	1574
228	466	1570
229	467	1565
230	468	1561
231	470	1555
232	471	1551
233	472	1546
234	473	1541
235	474	1537
236	475	1532
237	477	1527
238	478	1522
239	479	1518
240	480	1514
241	482	1509
242	483	1505
243	484	1500
244	485	1497
245	487	1493
246	488	1488
247	489	1484
248	490	1480
249	492	1476
250	493	1471
251	494	1467
252	495	1464
253	497	1460
254	498	1457
255	500	1453
256	501	1450
257	503	1447
258	504	1443
259	505	1439
260	506	1435
261	508	1431
262	509	1426
263	510	1423
264	511	1419
265	512	1415
266	513	1411
267	515	1407
268	516	1403
269	517	1399
270	519	1396
271	520	1393
272	521	1389
273	523	1385
274	524	1382
275	525	1379
276	527	1376
277	528	1372
278	530	1369
279	531	1367
280	533	1366
281	535	1362
282	536	1359
283	538	1356
284	539	1354
285	541	1351
286	543	1349
287	544	1346
288	546	1344
289	547	1341
290	549	1337
291	550	1334
292	551	1331
293	553	1328
294	554	1325
295	556	1322
296	557	1319
297	558	1316
298	560	1314
299	561	1311
300	563	1308
301	565	1306
302	566	1302
303	567	1300
304	569	1298
305	571	1295
306	572	1292
307	574	1289
308	575	1287
309	577	1284
310	578	1281
311	579	1278
312	580	1275
313	582	1272
314	583	1269
315	585	1267
316	586	1264
317	588	1262
318	590	1259
319	591	1256
320	592	1253
321	593	1250
322	594	1246
323	595	1242
324	596	1238
325	597	1235
326	598	1231
327	599	1228
328	600	1224
329	601	1220
330	602	1217
331	603	1213
332	604	1209
333	604	1206
334	605	1202
335	606	1199
336	607	1195
337	608	1192
338	609	1189
339	610	1185
340	611	1182
341	612	1179
342	614	1176
343	615	1172
344	616	1169
345	617	1166
346	618	1162
347	618	1159
348	619	1156
349	620	1153
350	621	1149
351	622	1146
352	623	1142
353	624	1139
354	625	1136
355	626	1133
356	627	1129
357	628	1126
358	629	1123
359	630	1120
360	631	1117
361	631	1113
362	632	1110
363	633	1107
364	634	1103
365	635	1100
366	636	1097
367	637	1094
368	638	1091
369	638	1087
370	639	1084
371	640	1081
372	641	1078
373	642	1075
374	643	1072
375	644	1069
376	645	1066
377	646	1063
378	647	1060
379	647	1057
380	648	1054
381	649	1051
382	650	1048
383	651	1045
384	652	1042
385	653	1039
386	654	1036
387	654	1033
388	655	1030
389	656	1027
390	657	1024
391	659	1022
392	660	1020
393	662	1018
394	663	1015
395	664	1012
396	664	1010
397	665	1007
398	666	1004
399	667	1001
400	668	998
401	669	996
402	670	993
403	671	990
404	672	988
405	673	985
406	674	983
407	675	980
408	676	977
409	677	975
410	678	972
411	679	969
412	680	966
413	681	964
414	682	961
415	682	958
416	683	956
417	684	953
418	685	950
419	686	947
420	687	945
421	688	942
422	689	939
423	689	937
424	690	934
425	691	931
426	692	929
427	693	926
428	694	924
429	695	921
430	696	918
431	696	916
432	697	913
433	698	911
434	699	908
435	700	906
436	701	903
437	702	901
438	703	898
439	704	896
440	705	894
441	706	891
442	707	889
443	708	886
444	709	884
445	710	881
446	710	879
447	711	877
448	712	874
449	713	872
450	714	869
451	715	867
452	716	865
453	717	863
454	718	861
455	719	858
456	720	856
457	721	854
458	723	852
459	723	849
460	724	847
461	725	844
462	726	842
463	727	840
464	728	837
465	729	835
466	730	833
467	730	830
468	731	828
469	732	826
470	733	824
471	734	821
472	735	819
473	736	817
474	737	814
475	738	812
476	738	810
477	739	807
478	740	805
479	741	803
480	743	801
481	744	799
482	745	797
483	746	795
484	747	793
485	748	791
486	749	789
487	750	787
488	751	784
489	752	782
490	753	780
491	753	778
492	754	776
493	756	774
494	757	772
495	757	770
496	758	767
497	759	765
498	760	763
499	761	761
500	762	759
501	763	757
502	764	755
503	765	753
504	766	751
505	767	748
506	768	746
507	768	744
508	769	742
509	770	740
510	771	738
511	772	736
512	773	734
513	774	732
514	775	730
515	776	728
516	777	726
517	778	724
518	779	722
519	780	720
520	781	718
521	782	716
522	783	714
523	784	712
524	785	711
525	787	709
526	788	707
527	789	705
528	790	703
529	791	701
530	792	699
531	793	697
532	794	696
533	795	694
534	796	692
535	797	690
536	798	688
537	799	686
538	800	684
539	801	682
540	802	680
541	803	679
542	804	677
543	805	675
544	806	673
545	807	671
546	808	669
547	809	667
548	810	665
549	811	663
550	812	661
551	813	660
552	814	658
553	815	656
554	816	654
555	816	652
556	817	650
557	818	648
558	819	646
559	820	644
560	821	643
561	822	641
562	823	639
563	824	637
564	825	635
565	826	633
566	827	631
567	828	630
568	829	628
569	830	626
570	831	624
571	832	622
572	833	620
573	834	618
574	835	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	606
581	842	604
582	842	602
583	843	601
584	844	599
585	845	597
586	846	595
587	847	593
588	848	592
589	849	590
590	850	588
591	851	586
592	852	585
593	853	583
594	854	581
595	855	579
596	856	578
597	857	576
598	858	574
599	859	572
600	860	571
601	861	569
602	862	567
603	862	565
604	863	564
605	865	562
606	865	560
607	867	559
608	868	557
609	869	555
610	869	553
611	870	552
612	871	550
613	872	548
614	873	546
615	874	545
616	875	543
617	876	541
618	877	540
619	878	538
620	879	536
621	880	535
622	882	533
623	882	532
624	884	530
625	884	528
626	885	526
627	886	525
628	887	523
629	888	521
630	889	520
631	890	518
632	891	516
633	892	515
634	893	513
635	894	511
636	895	510
637	896	508
638	897	507
639	898	505
640	899	503
641	900	502
642	901	500
643	902	498
644	903	497
645	904	495
646	905	493
647	906	492
648	907	490
649	908	488
650	908	487
651	909	485
652	910	484
653	912	482
654	913	480
655	913	479
656	914	477
657	915	475
658	916	474
659	917	472
660	918	471
661	919	469
662	920	467
663	921	466
664	922	464
665	923	463
666	924	461
667	925	459
668	926	458
669	927	456
670	928	455
671	929	453
672	930	452
673	931	450
674	932	449
675	933	447
676	934	445
677	935	444
678	936	442
679	937	441
680	938	439
681	939	438
682	940	436
683	941	434
684	942	433
685	943	431
686	944	430
687	945	428
688	946	427
689	947	425
690	948	423
691	948	422
692	949	420
693	950	419
694	951	417
695	952	416
696	953	414
697	954	413
698	955	411
699	956	410
700	957	408
701	958	406
702	959	405
703	960	403
704	961	402
705	962	400
706	963	399
707	964	397
708	965	396
709	966	394
710	967	393
711	968	391
712	969	390
713	970	388
714	971	387
715	972	385
716	973	384
717	974	382
718	974	381
719	975	379
720	976	378
721	978	376
722	979	375
723	980	373
724	981	372
725	982	370
726	983	369
727	984	367
728	985	366
729	986	364
730	987	363
731	988	361
732	989	360
733	990	358
734	991	357
735	992	355
736	993	354
737	994	353
738	995	351
739	996	350
740	997	348
741	997	346
742	998	345
743	999	343
744	1000	342
745	1001	341
746	1002	339
747	1003	338
748	1004	336
749	1005	335
