iter	Passed	Remaining
0	143	143196
1	146	73185
2	149	49571
3	151	37603
4	153	30569
5	155	25820
6	158	22536
7	160	19942
8	162	17875
9	163	16222
10	165	14864
11	166	13721
12	167	12732
13	168	11888
14	169	11157
15	171	10549
16	172	9987
17	173	9471
18	174	9010
19	175	8595
20	176	8223
21	177	7880
22	178	7569
23	179	7280
24	180	7020
25	180	6774
26	181	6549
27	182	6340
28	183	6145
29	184	5972
30	186	5839
31	188	5687
32	188	5537
33	189	5393
34	190	5261
35	191	5136
36	192	5017
37	193	4901
38	194	4792
39	195	4687
40	196	4590
41	197	4494
42	197	4405
43	199	4327
44	200	4265
45	202	4190
46	202	4115
47	204	4051
48	205	3985
49	206	3920
50	207	3856
51	208	3794
52	209	3735
53	209	3678
54	210	3623
55	211	3572
56	213	3531
57	215	3497
58	216	3453
59	217	3408
60	218	3363
61	219	3321
62	220	3278
63	221	3236
64	222	3196
65	223	3157
66	224	3120
67	225	3084
68	225	3049
69	226	3014
70	228	2984
71	229	2963
72	230	2931
73	231	2901
74	232	2870
75	233	2839
76	234	2811
77	235	2783
78	236	2754
79	237	2728
80	238	2701
81	238	2675
82	239	2645
83	240	2620
84	241	2597
85	242	2578
86	244	2566
87	245	2548
88	246	2526
89	247	2505
90	248	2483
91	249	2463
92	250	2442
93	251	2423
94	252	2403
95	253	2384
96	254	2365
97	255	2347
98	255	2329
99	257	2314
100	259	2307
101	260	2293
102	261	2277
103	262	2259
104	263	2243
105	264	2227
106	265	2212
107	265	2196
108	266	2181
109	267	2166
110	268	2151
111	269	2136
112	270	2121
113	271	2106
114	272	2094
115	273	2086
116	291	2198
117	292	2188
118	293	2176
119	294	2163
120	296	2150
121	296	2136
122	297	2123
123	298	2111
124	299	2098
125	300	2084
126	301	2071
127	302	2058
128	303	2046
129	305	2042
130	306	2032
131	307	2021
132	308	2009
133	309	1999
134	310	1989
135	311	1978
136	312	1967
137	313	1956
138	314	1946
139	315	1936
140	316	1926
141	316	1913
142	317	1903
143	319	1896
144	321	1894
145	322	1887
146	323	1877
147	324	1868
148	325	1858
149	326	1850
150	327	1841
151	328	1832
152	329	1823
153	330	1815
154	331	1806
155	332	1798
156	333	1792
157	335	1788
158	337	1784
159	338	1777
160	339	1767
161	340	1758
162	340	1750
163	341	1742
164	342	1734
165	343	1727
166	344	1719
167	345	1711
168	346	1704
169	347	1697
170	349	1692
171	350	1688
172	351	1682
173	352	1675
174	353	1668
175	355	1662
176	356	1655
177	357	1648
178	358	1642
179	359	1636
180	360	1631
181	362	1627
182	363	1623
183	366	1623
184	367	1617
185	368	1611
186	369	1606
187	370	1600
188	371	1594
189	372	1589
190	373	1583
191	375	1579
192	376	1575
193	378	1573
194	380	1571
195	382	1570
196	384	1568
197	386	1565
198	388	1562
199	389	1559
200	390	1554
201	392	1549
202	393	1545
203	395	1543
204	396	1538
205	397	1533
206	399	1528
207	400	1523
208	401	1518
209	402	1514
210	403	1508
211	404	1504
212	405	1499
213	406	1494
214	407	1488
215	409	1487
216	411	1483
217	412	1478
218	413	1473
219	414	1467
220	414	1462
221	415	1457
222	417	1453
223	418	1448
224	419	1443
225	420	1439
226	421	1435
227	422	1430
228	424	1430
229	426	1428
230	427	1423
231	428	1419
232	429	1414
233	430	1410
234	431	1405
235	432	1401
236	433	1396
237	434	1391
238	435	1386
239	436	1382
240	437	1378
241	439	1375
242	441	1373
243	442	1370
244	443	1366
245	444	1363
246	446	1360
247	447	1356
248	448	1352
249	449	1348
250	450	1343
251	451	1340
252	453	1337
253	454	1336
254	456	1334
255	458	1332
256	459	1328
257	460	1324
258	461	1321
259	463	1318
260	464	1315
261	465	1312
262	467	1310
263	469	1309
264	471	1307
265	473	1305
266	474	1302
267	475	1299
268	477	1296
269	478	1293
270	479	1290
271	481	1288
272	482	1285
273	485	1286
274	487	1284
275	488	1282
276	490	1280
277	491	1276
278	492	1273
279	493	1269
280	494	1266
281	496	1263
282	499	1264
283	501	1263
284	502	1261
285	504	1258
286	505	1255
287	506	1252
288	507	1248
289	508	1245
290	509	1242
291	513	1244
292	515	1243
293	517	1242
294	519	1241
295	520	1238
296	521	1235
297	523	1232
298	524	1228
299	526	1228
300	528	1228
301	531	1228
302	533	1226
303	535	1225
304	536	1223
305	537	1220
306	539	1218
307	542	1219
308	544	1217
309	546	1216
310	547	1214
311	549	1210
312	550	1209
313	552	1207
314	554	1206
315	556	1203
316	558	1202
317	559	1199
318	560	1197
319	562	1194
320	563	1191
321	564	1188
322	565	1184
323	566	1182
324	569	1182
325	571	1181
326	573	1180
327	575	1178
328	576	1176
329	578	1174
330	579	1172
331	581	1170
332	584	1169
333	586	1168
334	588	1168
335	590	1166
336	591	1164
337	593	1162
338	595	1160
339	596	1157
340	597	1154
341	598	1152
342	601	1151
343	603	1151
344	605	1149
345	607	1148
346	609	1147
347	611	1145
348	612	1141
349	613	1138
350	614	1135
351	616	1135
352	618	1134
353	620	1132
354	623	1132
355	624	1130
356	626	1128
357	627	1126
358	629	1123
359	632	1123
360	634	1122
361	636	1122
362	638	1119
363	639	1117
364	641	1116
365	643	1114
366	645	1112
367	647	1111
368	648	1108
369	649	1106
370	651	1105
